date,julian.day,ER,ER.SD,GPP,GPP.SD,NEP,NEP.SD,PR ratio,k600,k600.SD,metfootprint,NupGPP,NupGPP.SD,Nupbayes,Nupbayes.SD,Nupunpooled,Nup.light,Nup.dif,Nupfootprint,footprint.dif,footprint.factor,NupGPP.corr,Nupbayes.corr,Knit,Knit.SD,PAR.NLDAS,PAR.NLDAS.SE,DO.dwn,DO.dwn.SE,corr.DO,corr.DO.SE,DOsat.dwn,DOsat.dwn.SE,temp.dwn,temp.dwn.SE,nitrate.dwn,nitrate.dwn.SE,Q.dwn,Q.dwn.SE,u.dwn,u.dwn.SE,depth,depth.SE,width,width.SE,Q.gw,Q.gw.SE,DO.mag,cor.DO.mag,Q.dwn.mag,nitrate.mag,Q.gw.mag,Q.dwn.min,Q.dwn.max,Q.gw.min,Q.gw.max,nitrate.min,nitrate.max,DO.min,DO.max,cor.DO.min,cor.DO.max,DO.sat.min,DO.sat.max,Domax.nitmin,corDOmax.nitratemin
2019-06-25,176,-5.695928824,0.476274363,0.627632782,0.093736514,-5.068296042,0.485410963,0.110189716,30.98508422,2.39255891,2783.437479,7.688501574,0.149349296,9.507116479,0.073167632,5.657253503,73.64476187,1.818614905,18251.8,15468,6.6,0.002762233,0.000520885,4.606553237,2.858249937,2111.031634,282.3444037,9.258722222,0.02903165,9.460191508,0.029988652,90.9449396,0.166213992,8.331041667,0.147428044,54.78636,0.933953561,231.350834,2.378982,0.324375368,0.001957731,0.22591074,0.000713166,3.154735801,0.003731472,-15.796127,1.089701,1.073,1.102379639,44.72793952,13.04292,18.68308391,19.32527778,17.90861111,20.15861111,17.90861111,13.00138889,5.001388889,19.01666667,8.85,20.68333333,9.183333333,23.35,13.18333333,4.151388889,3.818055556
2019-06-26,177,-4.936197165,0.461220579,0.452537724,0.093722972,-4.48365944,0.470646808,0.091677401,27.74181147,2.320312687,3030.735591,5.543587125,0.207105324,9.542742049,0.081821315,7.540951789,73.62585156,3.999154924,17315.5,14285,5.7,0.001829123,0.00055111,4.759904568,3.1109821,2355.921056,339.6319326,8.984972222,0.032718526,9.166701703,0.03397044,90.91791977,0.18175528,9.574520833,0.175046108,52.6372425,0.904812375,223.700464,3.099138,0.317978612,0.002615951,0.223457429,0.001036541,3.144016939,0.004093463,-19.919571,0.893916,1.275,1.270486057,61.1331288,11.8572,17.29043871,20.90805556,13.90833333,18.90833333,8.908333333,13.00138889,6.001388889,19.68333333,9.183333333,19.68333333,9.183333333,22.35,14.68333333,3.818055556,3.818055556
2019-06-27,178,-5.621599416,0.47121984,0.559484994,0.088315327,-5.062114422,0.479424378,0.099524166,31.24646473,2.391691048,2637.740204,6.853691176,0.15785111,9.56004885,0.06143623,7.860003812,73.59867659,2.706357674,13515.6,10878,5.1,0.002598319,0.000707335,5.945683179,3.576978819,2192.80231,347.8371959,9.024111111,0.026401205,9.220227598,0.026997169,90.76972029,0.163906026,9.393048611,0.140660573,52.43138833,0.870589711,214.141794,2.585037,0.310028708,0.002198487,0.220457944,0.000890562,3.130104524,0.003189627,-16.319136,1.52183,1.133,1.122420378,45.57320655,12.8453,25.90328388,19.90777778,9.908055556,4.908055556,13.90777778,14.00138889,23.00138889,17.68333333,9.516666667,17.68333333,9.516666667,23.85,14.85,4.484722222,4.484722222
2019-06-28,179,-5.880276829,0.512281404,0.824528383,0.102053229,-5.055748446,0.52234768,0.140219314,31.36019003,2.575119129,2562.466651,10.1004727,0.123771638,9.537961608,0.06087557,7.101448868,73.56323594,0.562511092,15341.8,12779,6,0.003941699,0.000621698,5.365080573,3.46943719,2191.328519,322.796446,9.198333333,0.018549905,9.39525495,0.018372747,90.95260152,0.169548512,8.817201389,0.096008127,54.13586083,0.850971477,222.977975,1.263114,0.317554079,0.001060401,0.223516559,0.000412783,3.140805729,0.001723862,-8.369123,0.662848,0.707,0.704856001,30.56689268,11.26434,14.21772112,17.9075,11.9075,17.9075,8.9075,13.00138889,4.001388889,18.85,9.016666667,23.85,9.683333333,23.68333333,13.68333333,3.984722222,3.318055556
2019-06-29,180,-5.001390324,0.464314164,0.355778313,0.091904518,-4.645612011,0.473322388,0.071135882,28.0684473,2.27707739,2932.474903,4.358284331,0.258319618,9.515891216,0.065699949,6.890719041,73.51952802,5.157606885,15426.9,12494,5.3,0.001486214,0.000616837,5.328260394,3.221154519,2684.385276,398.9508037,8.973604167,0.036689843,9.157522238,0.038496788,90.73666597,0.176724828,9.862520833,0.205422855,55.02103375,0.847678929,222.504501,1.884165,0.317124185,0.001566357,0.223308774,0.000590542,3.140558767,0.002757739,-5.719844,1.008086,1.34,1.379616427,33.48365751,12.54887,18.04817387,20.90694444,14.90694444,3.907222222,14.90694444,13.00138889,22.00138889,19.01666667,9.016666667,19.01666667,9.016666667,23.51666667,14.35,3.984722222,3.984722222
2019-06-30,181,-4.583384556,0.475156025,0.38735317,0.099554155,-4.196031386,0.485473251,0.084512474,25.79789366,2.382771619,3186.251941,4.745076331,0.257011334,9.550478732,0.06044253,8.75965144,73.46755069,4.805402401,18727.5,15541,5.9,0.001489235,0.00050997,4.296201774,2.548097706,2598.666038,385.3399346,8.965256944,0.038892252,9.136891848,0.040605568,90.93018158,0.187290188,9.952944444,0.215867022,56.07500708,1.139089735,214.527034,2.122383,0.310406104,0.001803675,0.220670693,0.000728841,3.129967304,0.002626253,-7.429521,0.984887,1.358,1.397797624,34.99267873,16.89651,19.02801301,19.90666667,14.90666667,4.906944444,16.90666667,13.00138889,5.001388889,18.68333333,9.183333333,18.68333333,9.183333333,23.01666667,14.51666667,3.818055556,3.818055556
2019-07-01,182,-4.185726347,0.422418109,0.32348253,0.08522823,-3.862243818,0.430930284,0.077282293,25.18176682,2.245599793,3195.060248,3.962660989,0.263470889,9.559221795,0.056617609,7.46946202,73.40730129,5.596560806,11273.9,8079,3.5,0.001240246,0.000847908,6.253524981,3.541442283,2610.104185,387.0974076,8.726388889,0.032133385,8.885218554,0.033972077,90.78571031,0.183660362,10.89718056,0.194468186,53.72952261,0.943394232,171.454876,1.13162,0.271996629,0.001033533,0.203064673,0.000500997,3.09895113,0.000613505,-25.115939,3.415511,1.191,1.231885487,68.49054744,13.24054,48.50133444,20.57277778,2.906388889,11.90638889,7.906388889,14.00138889,23.00138889,17,9.35,19.16666667,9.35,23.33333333,13.83333333,4.651388889,4.651388889
2019-07-02,183,-4.336593833,0.388336682,0.51530042,0.086525831,-3.821293413,0.397859395,0.118826074,23.260209,1.886561767,3030.99281,6.312430147,0.167913371,9.993305232,0.07711819,27.3794097,73.33877663,3.680875085,5347.6,2317,1.8,0.002082628,0.001868756,13.49971397,2.971933093,2172.799711,344.6345686,8.829125,0.027731098,8.982705526,0.027953956,90.22312835,0.197147198,10.04086806,0.147336652,54.27172458,1.351821247,178.54322,0.962985,0.278513476,0.000866755,0.206260473,0.000406679,3.101657259,0.000621002,-28.510554,2.037069,1.192,1.165279093,67.36430188,29.54419,46.64643257,17.23916667,23.40583333,0.906111111,21.90583333,12.00138889,18.00138889,17.83333333,9.5,17.83333333,9.5,22.66666667,12.66666667,2.501388889,2.501388889
2019-07-03,184,-5.25806853,0.412894039,0.520407343,0.076607946,-4.737661187,0.419940787,0.0989731,29.37571295,2.110130847,2457.495861,6.374989947,0.147207657,9.375431165,0.059019441,5.325691376,73.26197309,3.000441218,13374.1,10917,5.4,0.0025941,0.000701015,5.722170678,3.477652147,1933.468512,291.7515962,8.903604167,0.01812585,9.087470382,0.018492162,90.32157288,0.168150667,9.742972222,0.112765996,51.90028458,0.919332095,196.971598,0.625779,0.295249777,0.000546634,0.21426754,0.000238621,3.1112189,0.000599778,-21.308637,1.252137,0.83,0.801172436,52.24188192,15.90841,30.84977537,23.32194444,16.40555556,21.90527778,8.905555556,15.00138889,0.001388889,15.66666667,12,15.66666667,12,23,13.16666667,3.001388889,3.001388889
2019-07-04,185,-4.843145507,0.454062467,0.364799507,0.086883666,-4.478346,0.462300222,0.075322847,28.79270847,2.427380239,2657.920921,4.46879396,0.238168267,9.427901293,0.05635692,5.9146196,73.17688655,4.959107333,11718.4,9061,4.4,0.001681312,0.000804537,6.128573855,4.004653813,2278.874836,361.8761774,8.930055556,0.03659429,9.124993093,0.03835435,90.56719537,0.175002808,9.853201389,0.203433362,52.27082208,0.770262075,176.755135,0.50556,0.27707266,0.000469886,0.205764981,0.000236036,3.098487445,0.000144747,-28.496606,1.019978,1.32,1.382403536,36.48968883,13.33935,18.53640898,20.73833333,7.738611111,0.905277778,10.905,13.00138889,23.00138889,17.33333333,8.833333333,19.66666667,9.333333333,23.66666667,14.5,4.168055556,3.668055556
