"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"sigma",3.54793000101947,0.00106450931690403,0.0540899151741766,3.44382670757609,3.51238392876923,3.54849983216914,3.58391935926007,3.65573620408805,2581.86581310014,0.998539812802073,3.54788257590583,0.0533000836366174,3.45203940631436,3.50906532811165,3.54664707891883,3.58428922768458,3.65713109523073,3.54812150422986,0.0570028327950411,3.43933638539701,3.509773259472,3.5488416756277,3.58751716503028,3.65945959235433,3.5483049853278,0.0482127628925789,3.45658833498675,3.51563400265705,3.54909163653592,3.58238919813259,3.64080883221533,3.5474109386144,0.057491938194006,3.43315083736761,3.51110576604473,3.54850436434522,3.58207250786799,3.66293774896824
"K[1]",3.65178510837609,0.0619700185912047,2.68914233237828,0.352970049782729,1.57720806387962,3.00422046397285,5.10399750844019,10.1516410657152,1883.06072736794,0.999685880035312,3.7031741141811,2.64938627711893,0.452453665654363,1.68828743528326,3.04501442647967,5.20504238531754,9.93363981492307,3.70469081270448,2.84544551316663,0.271620304429878,1.51510950981089,3.00212515586923,5.18761042080243,10.8048748441069,3.55510199628301,2.55291104203315,0.362048222790714,1.55529455743747,2.92416809160633,4.94508824217121,9.81225200532248,3.64417351033578,2.70580561924041,0.334173229203107,1.55230657958315,3.07615023513283,5.02103577099,10.0889385860959
"K[2]",4.36323816049727,0.0843813006869694,3.39246138449634,0.349700260497043,1.75771061896776,3.48956031051886,6.12921187694908,12.99057271779,1616.35739619862,1.00142572774238,4.58765205029153,3.55525052584148,0.349397405221127,1.89902541277717,3.56779373490442,6.14744511225393,13.6204292056772,4.10222495124292,3.25143016019789,0.277880686585316,1.53211228544184,3.07274106480397,6.11431700641623,12.155056992185,4.58814534763968,3.52852205413169,0.544505732406751,1.7833553520721,3.61269589617836,6.45470277335683,13.1498329263847,4.17493029281493,3.19958643955605,0.417585716708928,1.78607416498041,3.41343050928438,5.75291266259685,12.5621404401819
"K[3]",5.3214290061065,0.13285548129534,4.38728497645167,0.346825104769676,1.93290765695617,4.05958809040067,7.57099845002309,16.2951697712111,1090.51774236467,1.0023977325033,5.56881619476312,4.46431053180846,0.361420476260029,2.14690328667451,4.54794948658478,7.77798265161757,16.2372342548412,5.41072070587695,4.63961926675609,0.35569187052423,1.93162943771436,3.92413623073954,7.54903348366492,17.2093740269994,5.0251080190238,4.07502021157334,0.324259906116581,1.92967317009734,3.63970140353329,7.40600094194107,15.4086177337688,5.28107110476212,4.34602664039407,0.408353208402821,1.84991133503854,4.15659042416597,7.67512530038281,16.3000950767822
"K[4]",4.95736156872399,0.11310377255199,3.93634148847003,0.413481482418597,1.94421953758665,3.97007960214194,7.05458839136688,14.9841973527541,1211.24320399836,0.999564852253553,4.8814301634045,3.91374660995261,0.463990429361072,1.8963106795673,3.73818682071156,6.942147066403,14.27642158602,5.14925529151733,4.06471983561733,0.49818037228951,2.08933770839046,4.12668848719153,7.40851084693735,15.0768799687995,4.77524690138887,3.81133137004821,0.3883820477887,1.95382796298615,3.77983047714738,6.43934101128331,14.3601841428573,5.02351391858525,3.95302344325461,0.372552443859087,1.83617082644307,4.23094553540962,7.12626459351449,15.1408228506721
"K[5]",4.37113058838015,0.0851536841359925,3.47783357376258,0.377181519057963,1.75910816103158,3.43755384628089,6.06729990293968,13.5552145647507,1668.05630789756,1.00229281579917,4.36427060421533,3.43395003919835,0.477447059424506,1.86543689253974,3.39610970676866,5.80846514206893,13.23418186951,4.58268772193543,3.74364384736272,0.343792480087526,1.7376087922828,3.59531134574441,6.66120110324018,14.0392116224519,4.09233847575456,3.18654328128065,0.329061108226234,1.64572411603765,3.3476807848926,5.51097483403548,12.2246967773904,4.44522555161527,3.51636282442719,0.471222196924924,1.74810173665897,3.42982492476584,6.42157968747249,13.2897917954452
"K[6]",4.2200208111074,0.0658936441120919,2.91748966876239,0.383092391515492,1.97419711348411,3.57257446624837,5.99504518512877,11.3009001373304,1960.34090313206,1.00078038118295,4.21548582647127,3.06534613690031,0.301657847480977,1.88384197924714,3.54592461521425,6.15395203324969,11.4105166995765,4.32396207504288,2.86074935541802,0.534376342585713,2.02015060181469,3.88520982256964,6.06395746407347,11.2000715291217,4.14053705347492,2.82479326298474,0.347515126260063,2.06584672212094,3.49268469536409,5.88788648826322,10.7765245725507,4.20009828944053,2.91905666671073,0.420768544471016,2.04265198085008,3.442321348511,5.91154051754248,11.3607720856075
"K[7]",5.3068208389308,0.139571087886134,4.3060936074768,0.397125765635083,2.04269161170249,4.22054545863866,7.4629036683077,16.5974953922068,951.866419199377,1.00166344739902,5.28980617879955,4.25817476529312,0.436982552088517,2.03702690522552,4.36273532178929,7.26374223045471,15.8411853171984,5.38528035101592,4.25671368994845,0.510885496362313,2.21967518859618,4.30557510923503,7.37506058485176,16.2151711915936,4.87934123757655,4.20834007703328,0.390292983393094,1.81107018886963,3.67536069523283,6.58138292290991,16.9433980499451,5.67285558833117,4.47164880016901,0.334928361784789,2.07170438981733,4.73176536528702,8.04517747644391,17.1482059200138
"K[8]",23.7311712077314,0.115294858476325,4.7517177481557,14.3321668511295,20.4842350730435,23.8300555616943,26.8296191711664,33.1046583929056,1698.56194657475,1.00266597751628,23.5227425374648,5.03474273872016,13.4713894980272,20.1627468206588,23.719633943769,26.8624149762572,33.2825508939554,23.9627696868166,4.69762474486971,15.1802673943514,20.6282163340447,23.9123596184961,27.3827605372415,33.2042531524823,24.0354986229443,4.48649673241191,15.6443815126635,20.8199328711036,24.0400774162034,26.8437120812758,33.0583072476392,23.4036739837001,4.75484173958053,13.3304219573594,20.2657951461236,23.565401228748,26.5740086981763,32.2294335932712
"K[9]",4.50727412294736,0.0815428531880345,3.3083947639512,0.436732536858324,1.87462318748316,3.78218582852238,6.41869675640181,12.4702045101259,1646.12512214572,0.998617207070618,4.45987512618656,3.12801308819791,0.42561305658931,2.06536168054113,3.80293945055816,6.28914720432873,11.9155025594637,4.60940759305966,3.43971313071414,0.494412516404176,1.90878227028096,3.59698837838098,6.50775763022889,12.8114826945069,4.55838733478908,3.40902022982885,0.399284629642012,1.79726186200274,3.8068407334515,6.60129279644167,12.6567794911234,4.40142643775415,3.25325215652776,0.428192749677067,1.64043837932878,3.88747950926004,6.3977897303196,11.6894820710075
