date,Jday,time,light,z,conc
6/25/2019,176,0,0,0.230228579,60.61615
6/25/2019,176,1,0,0.226384378,60.61615
6/25/2019,176,2,0,0.228947595,60.1221
6/25/2019,176,3,0,0.229378084,60.02329
6/25/2019,176,4,0,0.225716199,60.22091
6/25/2019,176,5,1016026.822,0.224131352,61.40663
6/25/2019,176,6,2376460.442,0.227094258,60.61615
6/25/2019,176,7,3740222.131,0.224617813,58.44233
6/25/2019,176,8,5014400.368,0.228266276,54.98398
6/25/2019,176,9,6112186.828,0.223440822,54.29231
6/25/2019,176,10,6958790.54,0.230240012,52.11849
6/25/2019,176,11,7496533.311,0.22739096,50.33991
6/25/2019,176,12,7688779.287,0.227131731,49.94467
6/25/2019,176,13,7522430.915,0.228031355,48.36371
6/25/2019,176,14,7008821.275,0.229717136,49.84586
6/25/2019,176,15,6182941.979,0.221801956,49.74705
6/25/2019,176,16,5101059.233,0.228672745,49.64824
6/25/2019,176,17,3836880.496,0.231142876,49.94467
6/25/2019,176,18,2476532.872,0.227079154,50.43872
6/25/2019,176,19,1112695.369,0.219768698,51.42682
6/25/2019,176,20,0,0.219571815,52.81016
6/25/2019,176,21,0,0.222647086,54.58874
6/25/2019,176,22,0,0.227430725,57.05899
6/25/2019,176,23,0,0.22550712,57.25661
6/26/2019,177,0,0,0.22384424,57.65185
6/26/2019,177,1,0,0.227745815,57.1578
6/26/2019,177,2,0,0.223984658,57.25661
6/26/2019,177,3,0,0.227094258,57.05899
6/26/2019,177,4,0,0.222554091,57.05899
6/26/2019,177,5,1009765.434,0.223193315,57.55304
6/26/2019,177,6,2370187.909,0.225010824,57.75066
6/26/2019,177,7,3734261.833,0.223626018,55.37922
6/26/2019,177,8,5009054.188,0.228058265,54.78636
6/26/2019,177,9,6107714.599,0.227495191,51.82206
6/26/2019,177,10,6955392.364,0.225180355,49.64824
6/26/2019,177,11,7494335.968,0.227060396,48.2649
6/26/2019,177,12,7687827.645,0.229100728,46.78275
6/26/2019,177,13,7522684.93,0.230682266,45.89346
6/26/2019,177,14,7010158.78,0.22875896,46.68394
6/26/2019,177,15,6185167.067,0.222924998,46.2887
6/26/2019,177,16,5103915.663,0.225393401,47.37561
6/26/2019,177,17,3840069.195,0.222303103,47.57323
6/26/2019,177,18,2479732.349,0.21185713,50.33991
6/26/2019,177,19,1115583.64,0.212013063,50.04348
6/26/2019,177,20,0,0.210500185,54.29231
6/26/2019,177,21,0,0.217431307,53.69945
6/26/2019,177,22,0,0.223305566,55.87327
6/26/2019,177,23,0,0.21998821,57.05899
6/27/2019,178,0,0,0.223589265,57.35542
6/27/2019,178,1,0,0.224919768,57.45423
6/27/2019,178,2,0,0.220973994,56.46613
6/27/2019,178,3,0,0.219146128,57.05899
6/27/2019,178,4,0,0.213627051,55.57684
6/27/2019,178,5,1002793.442,0.218939647,56.26851
6/27/2019,178,6,2363276.731,0.222540213,56.07089
6/27/2019,178,7,3727732.164,0.221657927,52.41492
6/27/2019,178,8,5003200.464,0.224117934,52.41492
6/27/2019,178,9,6102784.949,0.227159292,50.83396
6/27/2019,178,10,6951571.735,0.222184407,48.36371
6/27/2019,178,11,7491733.572,0.22695759,47.17799
6/27/2019,178,12,7686469.577,0.217710278,48.66014
6/27/2019,178,13,7522512.461,0.225303527,46.58513
6/27/2019,178,14,7011032.43,0.223575687,45.69584
