author,pubyear,stream,altered,q,w,qw,nh4sw,no3sw,po4sw,er,gpp,nh4vf,po4vf,no3vf,no3c,nh4c,po4c
Valett et al.,2002,old growth,1,8.2,1.58,0.31,,,40,,,,,,66,3.5,4
Valett et al.,2002,second growth,1,5.5,2.36,0.14,,,90,,,,,,121,3.5,5
Mulholland et al.,1985,Walker Branch,1,2.6,2,0.08,,,22,,,,,,,,5
Mulholland et al.,1985,Walker Branch,1,3.1,2,0.09,,,70,,,,,,,,4
Mulholland et al.,1985,Walker Branch,1,7.5,2,0.23,,,73,,,,,,,,4
Mulholland et al.,1985,Walker Branch,1,3.6,2,0.11,,,97,,,,,,,,1
Mulholland et al.,1990,Walker Branch,1,2.7,3,0.05,,,45,,,,,,10.9,1,3.3
Mulholland et al.,1990,Walker Branch,1,2.7,3,0.05,,,67,,,,,,10.9,1,3.3
Mulholland et al.,1990,Walker Branch,1,9.4,3,0.19,,,222,,,,,,32.8,8,2.8
Mulholland et al.,1990,Walker Branch,1,9.4,3,0.19,,,455,,,,,,32.8,8,2.8
Mulholland et al.,1990,Walker Branch,1,2.7,3,0.05,,,29,,,,,,10.3,1,2.9
Mulholland et al.,1990,Walker Branch,1,9.4,3,0.19,,,164,,,,,,32.8,8,2.8
Mulholland et al.,1997,Hugh White Creek,1,4.9,2.8,0.11,,,30,,,,,,4,3,2
Mulholland et al.,1997,Walker Branch,1,4.2,2.2,0.11,,,156,,,,,,26,3,2
Meals,1999,La Platte,1,580,11,3.16,,,2098,,,,,,,,47
Meals,1999,La Platte,1,240,11,1.31,,,5773,,,,,,,,58
Macrae,2003,Strawberry Creek,1,5.9,,0.34,,,53,,,,6.38,,,,32
Macrae,2003,Strawberry Creek,1,5.9,,0.34,,,29,,,,7.8,,,,40
Macrae,2003,Strawberry Creek,1,2.4,,0.23,,,121,,,,2.78,,,,246
Macrae,2003,Strawberry Creek,1,2.4,,0.24,,,191,,,,1.26,,,,319
Hart,1991,Myrtle Creek,1,2.2,1.5,0.09,,,96,,,,,,400,,1
Hart,1992,Myrtle Creek,1,5.4,1,0.32,,,98,,,,,,,,2
Hart,1992,Myrtle Creek,1,5.4,1,0.32,,,90,,,,,,,,2.3
Hart,1992,Myrtle Creek,1,4.4,1,0.26,,,63,,,,,,,,2.5
Hall et al.,2002,W3 stream,1,7.7,2.19,0.21,,,32,,,,,,,2,1.5
Hall et al.,2002,W4 stream,1,6.6,2.17,0.18,,,25,,,,,,,2,1.5
Haggard,2001,Cherokee,1,140,8,1.05,,,900,,,,,,2650,,30
Haggard,2001,Cherokee,1,125,6.6,1.14,,,580,,,,,,2660,,28
Haggard,2001,Cherokee,1,115,6,1.15,,,200,,,,,,,,32
Haggard,2001,Cloud,1,140,5.5,1.53,,,339,,,,,,1580,,29
Haggard,2001,Cloud,1,110,5.1,1.29,,,257,,,,,,1540,,32
Arp & Baker,2007,Beaver,1,334,5.9,3.4,,7692,1408,,,,,,2,,3.3
Arp & Baker,2007,Elk,1,303,6.4,2.84,,2778,1282,,,,,,3.7,,2.9
Arp & Baker,2007,Fir-1,1,189,3.8,2.98,,1337,3460,,,,,,28.2,,3
Arp & Baker,2007,Fir-2,1,250,4.9,3.06,,390,877,,,,,,51.7,,3.8
Arp & Baker,2007,Stanley Lake-1,1,445,7.6,3.51,,5882,2079,,,,,,12.3,,2.6
Arp & Baker,2007,Stanley Lake-2,1,580,6.8,5.12,,2128,2217,,,,,,8.1,,1
Arp & Baker,2007,Warm Springs-1,1,156,2.3,4.07,,1282,,,,,,,8.8,,1
Arp & Baker,2007,Warm Springs-2,1,177,4.4,2.41,,541,,,,,,,5.7,,1
Arp & Baker,2007,Pettit Lake-N,1,69,4.9,0.84,,1563,637,,,,,,25.3,,1
Arp & Baker,2007,Pettit Lake-S,1,178,4,2.67,,1370,1224,,,,,,17.4,,1.8
Arp & Baker,2007,Stanley Lake-3,1,670,12,3.35,,,,,,,,,13.3,,1.5
Arp & Baker,2007,Warm Springs-3,1,232,2.8,4.97,,1754,600,,,,,,5.1,,1
Arp & Baker,2007,Yellowbelly-1,1,78,4.8,0.98,,455,286,,,,,,7.5,,1
Arp & Baker,2007,Yellowbelly-3,1,409,6.1,4.02,,345,244,,,,,,21,,1
Arp & Baker,2007,Yellowbelly-5,1,701,8.2,5.13,,1785,2439,,,,,,24.8,,1
Arp & Baker,2007,Pettit Lake,1,410,7.9,3.11,,7143,348,,,,,,11.2,,2
Arp & Baker,2007,Stanley Lake-4,1,830,12.8,3.89,,,535,,,,,,1.5,,1.3
Arp & Baker,2007,Warm Springs-4,1,167,9.7,1.03,,,307,,,,,,1.2,,1
Arp & Baker,2007,Yellowbelly-2,1,254,3.7,4.12,,,253,,,,,,13,,1
Arp & Baker,2007,Yellowbelly-4,1,619,6.7,5.54,,,1664,,,,,,15.5,,1
Arp & Baker,2007,Yellowbelly-6,1,760,15.4,2.96,,,990,,,,,,7.1,,1
Arp & Baker,2007,Hell Roaring,1,610,7.4,4.95,,2778,781,,,,,,17.1,,2
Arp & Baker,2007,Stanley Lake-5,1,704,11.4,3.71,,,848,,,,,,4.3,,2.8
Arp & Baker,2007,Warm Springs-5,1,238,4.2,3.4,,,,,,,,,1.7,,1
Arp & Baker,2007,Warm Springs-6,1,276,3.6,4.6,,2681,,,,,,,4.1,,1.7
Ashkenas et al.,2004,Mack Creek,1,87.4,6,0.87,55,1491,,11.2,1.9,,,,54.3,3.6,6
Ashkenas et al.,2004,Mack Creek,1,52,5.1,0.61,44,1261,,,,,,,58,2,13
Ashkenas et al.,2004,Mack Creek,1,35,5.1,0.41,36,1111,,,,,,,70,2,13
Hall et al.,2009,Springs Creek,1,754,3.85,11.75,,7143,,,,,,,11,,
Hall et al.,2009,Springs Creek,1,576,3.85,8.98,,5500,,,,,,,11.7,,
Hall et al.,2009,Springs Creek,1,488,3.85,7.61,,3846,,,,,,,9.9,,
Bernhardt et al.,2002,Paradise Brook,1,3.7,2.59,0.09,,70,,,,,,,315,,
Bernhardt et al.,2002,W2 stream,1,0.8,1.64,0.03,,146,,,,,,,4,,
Bernhardt et al.,2002,W6 stream,1,1.4,1.4,0.06,,202,,,,,,,38.1,2,1.5
Bernhardt et al.,2002,W6 stream,1,1.4,1.4,0.06,18,104,,,,,,,26.6,2,1.5
Bernot et al.,2006,Cobb Ditch,2,575,,1.39432,778,2200,601,,,1.79,2.32,2.4,2900,82.9,15.4
Bernot et al.,2006,Little Rabbit River,2,63,,1.041352,540,1400,323,,,1.93,3.22,3,3200,25.1,8.5
Bernot et al.,2006,Red Run Drain,2,17,,0.70035,1111,1900,667,,,0.63,1.05,0.6,600,43.6,10.2
Bernot et al.,2006,Red Run Drain,2,17,,0.858,800,,520,,,1.2,1.65,,,65,23
Bernot et al.,2006,Sand Creek tributary,2,7,,0.660528,244,800,556,,,2.71,1.19,4.8,500,8.8,12.2
Bukaveckas,2007,Wilson,1,125,6.8,1.1,,20000,1370,,,,,,375,,10.8
Bukaveckas,2007,Wilson,1,109,5.5,1.19,,617,380,,,,,,456,,7.2
Bukaveckas,2007,Harts Run,1,62,3.25,1.14,,8333,518,,,,,,63,,6.7
Davis & Minshall,1999,Cliff Creek,1,83.3,2,2.5,,1839,370,,,,,,330,10,12
